station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
STF;07.06.2021 00:00;6.6;0;0
STF;08.06.2021 00:00;32.3;0;0
STF;09.06.2021 00:00;0;0;0
STF;10.06.2021 00:00;0;0;0
STF;11.06.2021 00:00;0;0;0
STF;12.06.2021 00:00;0;0;0
STF;13.06.2021 00:00;0;0;0
STF;14.06.2021 00:00;0;0;0
STF;15.06.2021 00:00;0;0;0
STF;16.06.2021 00:00;0;0;0
STF;17.06.2021 00:00;0;0;0
STF;18.06.2021 00:00;0;0;0
STF;19.06.2021 00:00;0;0;0
STF;20.06.2021 00:00;11.2;0;0
STF;21.06.2021 00:00;23.6;0;0
STF;22.06.2021 00:00;6.9;0;0
STF;23.06.2021 00:00;7.1;0;0
STF;24.06.2021 00:00;66.2;0;0
STF;25.06.2021 00:00;0;0;0
STF;26.06.2021 00:00;0;0;0
STF;27.06.2021 00:00;0;0;0
STF;28.06.2021 00:00;31.6;0;0
STF;29.06.2021 00:00;10;0;0
STF;30.06.2021 00:00;4.6;0;0
STF;01.07.2021 00:00;0;0;0
STF;02.07.2021 00:00;0;0;0
STF;03.07.2021 00:00;3.9;0;0
STF;04.07.2021 00:00;10.6;0;0
STF;05.07.2021 00:00;0;0;0
STF;06.07.2021 00:00;17;0;0
STF;07.07.2021 00:00;17.7;0;0
STF;08.07.2021 00:00;35.5;0;0
STF;09.07.2021 00:00;0;0;0
STF;10.07.2021 00:00;9.9;0;0
STF;11.07.2021 00:00;0;0;0
STF;12.07.2021 00:00;24;0;0
STF;13.07.2021 00:00;28.1;0;0
STF;14.07.2021 00:00;13.2;0;0
STF;15.07.2021 00:00;12.9;0;0
STF;16.07.2021 00:00;1.9;0;0
STF;17.07.2021 00:00;4.4;0;0
STF;18.07.2021 00:00;0;0;0
STF;19.07.2021 00:00;0;0;0
STF;20.07.2021 00:00;0;0;0
STF;21.07.2021 00:00;0;0;0
STF;22.07.2021 00:00;0;0;0
STF;23.07.2021 00:00;0;0;0
STF;24.07.2021 00:00;15.1;0;0
STF;25.07.2021 00:00;8.2;0;0
STF;26.07.2021 00:00;2.3;0;0
STF;27.07.2021 00:00;14.1;0;0
STF;28.07.2021 00:00;0.2;0;0
STF;29.07.2021 00:00;0;0;0
STF;30.07.2021 00:00;12.1;0;0
STF;31.07.2021 00:00;26;0;0
STF;01.08.2021 00:00;4.9;0;0
STF;02.08.2021 00:00;0;0;0
STF;03.08.2021 00:00;9.4;0;0
STF;04.08.2021 00:00;10.4;0;0
STF;05.08.2021 00:00;0.7;0;0
STF;06.08.2021 00:00;0;0;0
STF;07.08.2021 00:00;23.2;0;0
STF;08.08.2021 00:00;0;0;0
STF;09.08.2021 00:00;0;;0
STF;10.08.2021 00:00;0;0;0
STF;11.08.2021 00:00;0;0;0
STF;12.08.2021 00:00;0.3;0;0
STF;13.08.2021 00:00;0;0;0
STF;14.08.2021 00:00;0;0;0
STF;15.08.2021 00:00;0.3;0;0
STF;16.08.2021 00:00;4.4;0;0
STF;17.08.2021 00:00;0;0;0
STF;18.08.2021 00:00;0;0;0
STF;19.08.2021 00:00;0;0;0
STF;20.08.2021 00:00;0;0;0
STF;21.08.2021 00:00;4.5;0;0
STF;22.08.2021 00:00;0.3;0;0
STF;23.08.2021 00:00;0;0;0
STF;24.08.2021 00:00;0;0;0
STF;25.08.2021 00:00;0;0;0
STF;26.08.2021 00:00;0;0;0
STF;27.08.2021 00:00;0;0;0
STF;28.08.2021 00:00;4.6;0;0
STF;29.08.2021 00:00;0.5;0;0
STF;30.08.2021 00:00;0;0;0
STF;31.08.2021 00:00;0;0;0
STF;01.09.2021 00:00;0;0;0
STF;02.09.2021 00:00;0;0;0
STF;03.09.2021 00:00;0;0;0
STF;04.09.2021 00:00;0;;0
STF;05.09.2021 00:00;0;0;0
STF;06.09.2021 00:00;0;0;0
STF;07.09.2021 00:00;0;0;0
STF;08.09.2021 00:00;0;0;0
STF;09.09.2021 00:00;1.1;0;0
STF;10.09.2021 00:00;1;0;0
STF;11.09.2021 00:00;0;0;0
STF;12.09.2021 00:00;0;0;0
STF;13.09.2021 00:00;0;0;0
STF;14.09.2021 00:00;0.2;0;0
STF;15.09.2021 00:00;3.2;0;0
STF;16.09.2021 00:00;12.9;0;0
STF;17.09.2021 00:00;0;0;0
STF;18.09.2021 00:00;0.2;0;0
STF;19.09.2021 00:00;21.5;0;0
STF;20.09.2021 00:00;0.8;0;0
STF;21.09.2021 00:00;0;0;0
STF;22.09.2021 00:00;0;;0
STF;23.09.2021 00:00;0;;
STF;24.09.2021 00:00;0;0;0
STF;25.09.2021 00:00;2.6;0;0
STF;26.09.2021 00:00;3.3;0;0
STF;27.09.2021 00:00;0;0;0
STF;28.09.2021 00:00;0.1;;0
STF;29.09.2021 00:00;0.1;;
STF;30.09.2021 00:00;0;;0
STF;01.10.2021 00:00;0;;
STF;02.10.2021 00:00;0;0;0
STF;03.10.2021 00:00;6.3;0;0
STF;04.10.2021 00:00;4.5;;0
STF;05.10.2021 00:00;4.2;;
STF;06.10.2021 00:00;5.8;0;0
STF;07.10.2021 00:00;0;0;0
STF;08.10.2021 00:00;0;0;0
STF;09.10.2021 00:00;0;0;0
STF;10.10.2021 00:00;0;0;0
STF;11.10.2021 00:00;0;0;0
STF;12.10.2021 00:00;4.6;0;0
STF;13.10.2021 00:00;0;0;0
STF;14.10.2021 00:00;0;0;0
STF;15.10.2021 00:00;0;0;0
STF;16.10.2021 00:00;0;0;0
STF;17.10.2021 00:00;0;0;0
STF;18.10.2021 00:00;0;0;0
STF;19.10.2021 00:00;0;0;0
STF;20.10.2021 00:00;7.5;0;0
STF;21.10.2021 00:00;0.2;0;0
STF;22.10.2021 00:00;0;0;0
STF;23.10.2021 00:00;0;0;0
STF;24.10.2021 00:00;0;0;0
STF;25.10.2021 00:00;3.1;0;0
STF;26.10.2021 00:00;0;0;0
STF;27.10.2021 00:00;0;0;0
STF;28.10.2021 00:00;0;0;0
STF;29.10.2021 00:00;0;0;0
STF;30.10.2021 00:00;2.8;0;0
STF;31.10.2021 00:00;4.4;0;0
STF;01.11.2021 00:00;6.5;0;0
STF;02.11.2021 00:00;2.1;;0
STF;03.11.2021 00:00;1.8;;
STF;04.11.2021 00:00;3.2;0;0
STF;05.11.2021 00:00;0;0;0
STF;06.11.2021 00:00;0;0;0
STF;07.11.2021 00:00;0;0;0
STF;08.11.2021 00:00;0;0;0
STF;09.11.2021 00:00;0;;0
STF;10.11.2021 00:00;0;0;0
STF;11.11.2021 00:00;0;0;0
STF;12.11.2021 00:00;0;0;0
STF;13.11.2021 00:00;3.2;0;0
STF;14.11.2021 00:00;0.2;0;0
STF;15.11.2021 00:00;0;0;0
STF;16.11.2021 00:00;0.7;0;0
STF;17.11.2021 00:00;0;0;0
STF;18.11.2021 00:00;0;;0
STF;19.11.2021 00:00;0;0;0
STF;20.11.2021 00:00;0;0;0
STF;21.11.2021 00:00;1.4;0;0
STF;22.11.2021 00:00;0;0;0
STF;23.11.2021 00:00;0;0;0
STF;24.11.2021 00:00;0;0;0
STF;25.11.2021 00:00;3.2;2;0
STF;26.11.2021 00:00;1;1;2
STF;27.11.2021 00:00;0;0;2
STF;28.11.2021 00:00;7.5;8;1
STF;29.11.2021 00:00;0;0;8
STF;30.11.2021 00:00;5;6;4
STF;01.12.2021 00:00;3.2;0;6
STF;02.12.2021 00:00;5.6;3;0
STF;03.12.2021 00:00;11.1;3;3
STF;04.12.2021 00:00;11.3;0;3
STF;05.12.2021 00:00;1.6;2;0
STF;06.12.2021 00:00;1;2;2
STF;07.12.2021 00:00;6.8;0;2
STF;08.12.2021 00:00;15.9;14;0
STF;09.12.2021 00:00;0;0;14
STF;10.12.2021 00:00;9.5;9;10
STF;11.12.2021 00:00;0.8;1;19
STF;12.12.2021 00:00;0;0;15
STF;13.12.2021 00:00;0;0;14
STF;14.12.2021 00:00;0;0;14
STF;15.12.2021 00:00;0;0;14
STF;16.12.2021 00:00;0;0;12
STF;17.12.2021 00:00;0;0;10
STF;18.12.2021 00:00;0;;7
STF;19.12.2021 00:00;0;;
STF;20.12.2021 00:00;0;0;7
STF;21.12.2021 00:00;0;0;6
STF;22.12.2021 00:00;0;0;6
STF;23.12.2021 00:00;0.5;0;5
STF;24.12.2021 00:00;1.2;0;3
STF;25.12.2021 00:00;13.9;0;0
STF;26.12.2021 00:00;3.1;0;0
STF;27.12.2021 00:00;10.4;0;0
STF;28.12.2021 00:00;6;0;0
STF;29.12.2021 00:00;17.2;0;0
STF;30.12.2021 00:00;0;0;0
STF;31.12.2021 00:00;0;0;0
STF;01.01.2022 00:00;0;;0
STF;02.01.2022 00:00;0;;
STF;03.01.2022 00:00;5.9;0;0
STF;04.01.2022 00:00;13;0;0
STF;05.01.2022 00:00;2;;0
STF;06.01.2022 00:00;0.1;;
STF;07.01.2022 00:00;3.5;;
STF;08.01.2022 00:00;9.7;4;10
STF;09.01.2022 00:00;9.9;13;10
STF;10.01.2022 00:00;0;0;19
STF;11.01.2022 00:00;0;0;14
STF;12.01.2022 00:00;0;0;13
STF;13.01.2022 00:00;0;0;12
STF;14.01.2022 00:00;0;0;10
STF;15.01.2022 00:00;0;0;9
STF;16.01.2022 00:00;0;0;8
STF;17.01.2022 00:00;0;0;6
STF;18.01.2022 00:00;0;0;6
STF;19.01.2022 00:00;0.9;2;5
STF;20.01.2022 00:00;0;;7
STF;21.01.2022 00:00;0;;
STF;22.01.2022 00:00;0;0;4
STF;23.01.2022 00:00;0;0;2
STF;24.01.2022 00:00;0;0;2
STF;25.01.2022 00:00;0;0;2
STF;26.01.2022 00:00;0;0;2
STF;27.01.2022 00:00;2;0;2
STF;28.01.2022 00:00;0;0;1
STF;29.01.2022 00:00;0;0;1
STF;30.01.2022 00:00;0;0;1
STF;31.01.2022 00:00;5.7;2;0
STF;01.02.2022 00:00;6.4;0;2
STF;02.02.2022 00:00;10.7;0;0
STF;03.02.2022 00:00;0;0;0
STF;04.02.2022 00:00;1.8;0;0
STF;05.02.2022 00:00;0;0;0
STF;06.02.2022 00:00;7.3;0;0
STF;07.02.2022 00:00;0;0;0
STF;08.02.2022 00:00;0;0;0
STF;09.02.2022 00:00;0;0;0
STF;10.02.2022 00:00;14.4;0;0
STF;11.02.2022 00:00;1.1;0;0
STF;12.02.2022 00:00;0;0;0
STF;13.02.2022 00:00;0;0;0
STF;14.02.2022 00:00;2.3;0;0
STF;15.02.2022 00:00;2.8;0;0
STF;16.02.2022 00:00;4.2;0;0
STF;17.02.2022 00:00;3;;0
STF;18.02.2022 00:00;4.6;;
STF;19.02.2022 00:00;0;0;0
STF;20.02.2022 00:00;2.7;0;0
STF;21.02.2022 00:00;6.9;0;0
STF;22.02.2022 00:00;0.7;0;0
STF;23.02.2022 00:00;0.1;;0
STF;24.02.2022 00:00;2.2;;
STF;25.02.2022 00:00;0.2;;
STF;26.02.2022 00:00;0;0;0
STF;27.02.2022 00:00;0;0;0
STF;28.02.2022 00:00;0;0;0
STF;01.03.2022 00:00;0;0;0
STF;02.03.2022 00:00;0;;0
STF;03.03.2022 00:00;0;;
STF;04.03.2022 00:00;0;0;0
STF;05.03.2022 00:00;0;0;0
STF;06.03.2022 00:00;0;0;0
STF;07.03.2022 00:00;0;0;0
STF;08.03.2022 00:00;0;0;0
STF;09.03.2022 00:00;0;0;0
STF;10.03.2022 00:00;0;0;0
STF;11.03.2022 00:00;0;0;0
STF;12.03.2022 00:00;0;0;0
STF;13.03.2022 00:00;0.6;0;0
STF;14.03.2022 00:00;2.9;0;0
STF;15.03.2022 00:00;0;0;0
STF;16.03.2022 00:00;0;0;0
STF;17.03.2022 00:00;0;0;0
STF;18.03.2022 00:00;0;0;0
STF;19.03.2022 00:00;0;0;0
STF;20.03.2022 00:00;0;0;0
STF;21.03.2022 00:00;0;0;0
STF;22.03.2022 00:00;0;0;0
STF;23.03.2022 00:00;0;0;0
STF;24.03.2022 00:00;0;0;0
STF;25.03.2022 00:00;0;0;0
STF;26.03.2022 00:00;0;0;0
STF;27.03.2022 00:00;0;0;0
STF;28.03.2022 00:00;0;0;0
STF;29.03.2022 00:00;0;0;0
STF;30.03.2022 00:00;4.5;0;0
STF;31.03.2022 00:00;21.9;0;0
STF;01.04.2022 00:00;19.8;16;0
STF;02.04.2022 00:00;5.4;5;16
STF;03.04.2022 00:00;0;0;18
STF;04.04.2022 00:00;0;0;10
STF;05.04.2022 00:00;0;0;2
STF;06.04.2022 00:00;0.7;0;0
STF;07.04.2022 00:00;5.9;0;0
STF;08.04.2022 00:00;6.2;0;0
STF;09.04.2022 00:00;2;0;0
STF;10.04.2022 00:00;0;0;0
STF;11.04.2022 00:00;0;0;0
STF;12.04.2022 00:00;0;;0
STF;13.04.2022 00:00;0;;
STF;14.04.2022 00:00;0;0;0
STF;15.04.2022 00:00;0;0;0
STF;16.04.2022 00:00;0;0;0
STF;17.04.2022 00:00;0;0;0
STF;18.04.2022 00:00;0;0;0
STF;19.04.2022 00:00;0;0;0
STF;20.04.2022 00:00;0;0;0
STF;21.04.2022 00:00;0;0;0
STF;22.04.2022 00:00;0;0;0
STF;23.04.2022 00:00;3.4;0;0
STF;24.04.2022 00:00;22.5;0;0
STF;25.04.2022 00:00;11.9;0;0
STF;26.04.2022 00:00;5.4;0;0
STF;27.04.2022 00:00;0;0;0
STF;28.04.2022 00:00;0;0;0
STF;29.04.2022 00:00;1.3;0;0
STF;30.04.2022 00:00;0;0;0
STF;01.05.2022 00:00;0;0;0
STF;02.05.2022 00:00;0;0;0
STF;03.05.2022 00:00;0;0;0
STF;04.05.2022 00:00;2.6;0;0
STF;05.05.2022 00:00;17;0;0
STF;06.05.2022 00:00;1.4;0;0
STF;07.05.2022 00:00;0;0;0
STF;08.05.2022 00:00;0;0;0
STF;09.05.2022 00:00;0;0;0
STF;10.05.2022 00:00;0;0;0
STF;11.05.2022 00:00;0;0;0
STF;12.05.2022 00:00;1.6;0;0
STF;13.05.2022 00:00;0;0;0
STF;14.05.2022 00:00;0;0;0
STF;15.05.2022 00:00;1.4;0;0
STF;16.05.2022 00:00;0;0;0
STF;17.05.2022 00:00;0;0;0
STF;18.05.2022 00:00;0;0;0
STF;19.05.2022 00:00;0;0;0
STF;20.05.2022 00:00;2.1;0;0
STF;21.05.2022 00:00;0;0;0
STF;22.05.2022 00:00;0.3;0;0
STF;23.05.2022 00:00;5.9;0;0
STF;24.05.2022 00:00;0.5;0;0
STF;25.05.2022 00:00;0;0;0
STF;26.05.2022 00:00;0;0;0
STF;27.05.2022 00:00;0;0;0
STF;28.05.2022 00:00;0;0;0
STF;29.05.2022 00:00;0;0;0
STF;30.05.2022 00:00;0;0;0
STF;31.05.2022 00:00;3.8;0;0
STF;01.06.2022 00:00;3.1;0;0
STF;02.06.2022 00:00;0;0;0
STF;03.06.2022 00:00;4.6;0;0
STF;04.06.2022 00:00;24.1;0;0
STF;05.06.2022 00:00;7;0;0
STF;06.06.2022 00:00;10.6;0;0
STF;07.06.2022 00:00;3.7;0;0
STF;08.06.2022 00:00;4.3;0;0
STF;09.06.2022 00:00;10.6;0;0
STF;10.06.2022 00:00;0;0;0
STF;11.06.2022 00:00;0;0;0
STF;12.06.2022 00:00;0.3;0;0
STF;13.06.2022 00:00;0;0;0
STF;14.06.2022 00:00;0.1;0;0
STF;15.06.2022 00:00;1;0;0
STF;16.06.2022 00:00;0;0;0
STF;17.06.2022 00:00;0;0;0
STF;18.06.2022 00:00;0;0;0
STF;19.06.2022 00:00;0;0;0
STF;20.06.2022 00:00;0;0;0
STF;21.06.2022 00:00;0.2;0;0
STF;22.06.2022 00:00;16.1;0;0
STF;23.06.2022 00:00;17.4;0;0
STF;24.06.2022 00:00;9.6;;0
STF;25.06.2022 00:00;7.1;;
STF;26.06.2022 00:00;0;0;0
STF;27.06.2022 00:00;1.8;0;0
STF;28.06.2022 00:00;0;0;0
STF;29.06.2022 00:00;0;0;0
STF;30.06.2022 00:00;35.4;0;0
STF;01.07.2022 00:00;1.8;0;0
STF;02.07.2022 00:00;0;0;0
STF;03.07.2022 00:00;8.1;0;0
STF;04.07.2022 00:00;17.6;0;0
STF;05.07.2022 00:00;0;0;0
STF;06.07.2022 00:00;0;0;0
STF;07.07.2022 00:00;0;0;0
STF;08.07.2022 00:00;0;0;0
STF;09.07.2022 00:00;0;0;0
STF;10.07.2022 00:00;0;0;0
STF;11.07.2022 00:00;0;0;0
STF;12.07.2022 00:00;0;0;0
STF;13.07.2022 00:00;0;0;0
STF;14.07.2022 00:00;0;0;0
STF;15.07.2022 00:00;0;0;0
STF;16.07.2022 00:00;0;0;0
STF;17.07.2022 00:00;0;0;0
STF;18.07.2022 00:00;0;0;0
STF;19.07.2022 00:00;0;0;0
STF;20.07.2022 00:00;3.1;0;0
STF;21.07.2022 00:00;0;0;0
STF;22.07.2022 00:00;4.2;0;0
STF;23.07.2022 00:00;11.7;0;0
STF;24.07.2022 00:00;0;0;0
STF;25.07.2022 00:00;5.5;0;0
STF;26.07.2022 00:00;0;0;0
STF;27.07.2022 00:00;0;0;0
STF;28.07.2022 00:00;3;0;0
STF;29.07.2022 00:00;17.4;0;0
STF;30.07.2022 00:00;0;0;0
STF;31.07.2022 00:00;0;0;0
STF;01.08.2022 00:00;0.7;0;0
STF;02.08.2022 00:00;0;0;0
STF;03.08.2022 00:00;0;0;0
STF;04.08.2022 00:00;0;0;0
STF;05.08.2022 00:00;3.1;0;0
STF;06.08.2022 00:00;0;0;0
STF;07.08.2022 00:00;0;;0
STF;08.08.2022 00:00;0;;
STF;09.08.2022 00:00;0;0;0
STF;10.08.2022 00:00;0;0;0
STF;11.08.2022 00:00;0;0;0
STF;12.08.2022 00:00;0;0;0
STF;13.08.2022 00:00;0;0;0
STF;14.08.2022 00:00;0.1;0;0
STF;15.08.2022 00:00;0;0;0
STF;16.08.2022 00:00;0;0;0
STF;17.08.2022 00:00;15.1;0;0
STF;18.08.2022 00:00;4.9;0;0
STF;19.08.2022 00:00;2.4;0;0
STF;20.08.2022 00:00;11.1;0;0
STF;21.08.2022 00:00;0;0;0
STF;22.08.2022 00:00;0;0;0
STF;23.08.2022 00:00;0;0;0
STF;24.08.2022 00:00;0;0;0
STF;25.08.2022 00:00;0;0;0
STF;26.08.2022 00:00;17.4;0;0
STF;27.08.2022 00:00;0;;0
STF;28.08.2022 00:00;0;;
STF;29.08.2022 00:00;0;0;0
STF;30.08.2022 00:00;33.4;0;0
STF;31.08.2022 00:00;1;0;0
STF;01.09.2022 00:00;0;0;0
STF;02.09.2022 00:00;6.1;0;0
STF;03.09.2022 00:00;5;0;0
STF;04.09.2022 00:00;0;0;0
STF;05.09.2022 00:00;0;0;0
STF;06.09.2022 00:00;13.2;0;0
STF;07.09.2022 00:00;41.3;0;0
STF;08.09.2022 00:00;1;0;0
STF;09.09.2022 00:00;1.8;0;0
STF;10.09.2022 00:00;0;0;0
STF;11.09.2022 00:00;0;0;0
STF;12.09.2022 00:00;0;0;0
STF;13.09.2022 00:00;0;0;0
STF;14.09.2022 00:00;2.5;0;0
STF;15.09.2022 00:00;19.3;0;0
STF;16.09.2022 00:00;5.1;0;0
STF;17.09.2022 00:00;0;0;0
STF;18.09.2022 00:00;0;0;0
STF;19.09.2022 00:00;0;;0
STF;20.09.2022 00:00;0;;
STF;21.09.2022 00:00;0;;
STF;22.09.2022 00:00;0;0;0
STF;23.09.2022 00:00;3.3;0;0
STF;24.09.2022 00:00;24.1;0;0
STF;25.09.2022 00:00;7;0;0
STF;26.09.2022 00:00;3.8;0;0
STF;27.09.2022 00:00;8.6;0;0
STF;28.09.2022 00:00;44.1;0;0
STF;29.09.2022 00:00;6.4;0;0
STF;30.09.2022 00:00;0.1;0;0
STF;01.10.2022 00:00;9.1;0;0
STF;02.10.2022 00:00;5.8;0;0
STF;03.10.2022 00:00;0;0;0
STF;04.10.2022 00:00;0;0;0
STF;05.10.2022 00:00;0;0;0
STF;06.10.2022 00:00;0;0;0
STF;07.10.2022 00:00;0;0;0
STF;08.10.2022 00:00;1;0;0
STF;09.10.2022 00:00;0;0;0
STF;10.10.2022 00:00;0;0;0
STF;11.10.2022 00:00;0;0;0
STF;12.10.2022 00:00;0;0;0
STF;13.10.2022 00:00;2.8;0;0
STF;14.10.2022 00:00;7.1;0;0
STF;15.10.2022 00:00;0;0;0
STF;16.10.2022 00:00;0;0;0
STF;17.10.2022 00:00;0;0;0
STF;18.10.2022 00:00;0;0;0
STF;19.10.2022 00:00;0;0;0
STF;20.10.2022 00:00;1.4;0;0
STF;21.10.2022 00:00;18.2;0;0
STF;22.10.2022 00:00;0;0;0
STF;23.10.2022 00:00;11.6;0;0
STF;24.10.2022 00:00;12.5;0;0
STF;25.10.2022 00:00;2.4;0;0
STF;26.10.2022 00:00;0;0;0
STF;27.10.2022 00:00;0;0;0
STF;28.10.2022 00:00;0;0;0
STF;29.10.2022 00:00;0;0;0
STF;30.10.2022 00:00;0;0;0
STF;31.10.2022 00:00;0.7;0;0
STF;01.11.2022 00:00;0.4;0;0
STF;02.11.2022 00:00;0;0;0
STF;03.11.2022 00:00;7.7;0;0
STF;04.11.2022 00:00;1.1;0;0
STF;05.11.2022 00:00;2.3;0;0
STF;06.11.2022 00:00;0.1;0;0
STF;07.11.2022 00:00;0.1;0;0
STF;08.11.2022 00:00;2.7;0;0
STF;09.11.2022 00:00;7.4;0;0
STF;10.11.2022 00:00;0;0;0
STF;11.11.2022 00:00;0;0;0
STF;12.11.2022 00:00;0.2;0;0
STF;13.11.2022 00:00;3.5;0;0
STF;14.11.2022 00:00;1;0;0
STF;15.11.2022 00:00;5.2;0;0
STF;16.11.2022 00:00;0.6;0;0
STF;17.11.2022 00:00;14.8;0;0
STF;18.11.2022 00:00;2.1;0;0
STF;19.11.2022 00:00;0.2;0;0
STF;20.11.2022 00:00;3.7;0;0
STF;21.11.2022 00:00;5.3;0;0
STF;22.11.2022 00:00;0;0;0
STF;23.11.2022 00:00;6.8;0;0
STF;24.11.2022 00:00;3.1;0;0
STF;25.11.2022 00:00;0.7;0;0
STF;26.11.2022 00:00;0;0;0
STF;27.11.2022 00:00;0;0;0
STF;28.11.2022 00:00;3.2;0;0
STF;29.11.2022 00:00;2.2;0;0
STF;30.11.2022 00:00;0.3;0;0
STF;01.12.2022 00:00;0;0;0
STF;02.12.2022 00:00;0;0;0
STF;03.12.2022 00:00;0;0;0
STF;04.12.2022 00:00;1.1;0;0
STF;05.12.2022 00:00;0;0;0
STF;06.12.2022 00:00;0;0;0
STF;07.12.2022 00:00;0;0;0
STF;08.12.2022 00:00;2.1;3;0
STF;09.12.2022 00:00;12.6;13;3
STF;10.12.2022 00:00;4.2;5;15
STF;11.12.2022 00:00;0;0;18
STF;12.12.2022 00:00;0;0;15
STF;13.12.2022 00:00;2.6;2;13
STF;14.12.2022 00:00;1.5;0;13
STF;15.12.2022 00:00;9.6;5;0
STF;16.12.2022 00:00;1.2;2;5
STF;17.12.2022 00:00;0;0;6
STF;18.12.2022 00:00;0;0;5
STF;19.12.2022 00:00;0;0;5
STF;20.12.2022 00:00;1.1;0;1
STF;21.12.2022 00:00;0;0;0
STF;22.12.2022 00:00;10.5;0;0
STF;23.12.2022 00:00;25.3;0;0
STF;24.12.2022 00:00;6.4;0;0
STF;25.12.2022 00:00;0;0;0
STF;26.12.2022 00:00;9.9;0;0
STF;27.12.2022 00:00;0;0;0
STF;28.12.2022 00:00;0;0;0
STF;29.12.2022 00:00;18;0;0
STF;30.12.2022 00:00;1.3;0;0
STF;31.12.2022 00:00;0;0;0
STF;01.01.2023 00:00;0;0;0
STF;02.01.2023 00:00;5.6;0;0
STF;03.01.2023 00:00;3;0;0
STF;04.01.2023 00:00;1.1;0;0
STF;05.01.2023 00:00;0.5;0;0
STF;06.01.2023 00:00;0;0;0
STF;07.01.2023 00:00;3.1;0;0
STF;08.01.2023 00:00;17;0;0
STF;09.01.2023 00:00;7.7;0;0
STF;10.01.2023 00:00;0;0;0
STF;11.01.2023 00:00;3.3;0;0
STF;12.01.2023 00:00;0.5;0;0
STF;13.01.2023 00:00;4.7;0;0
STF;14.01.2023 00:00;0;0;0
STF;15.01.2023 00:00;15.5;0;0
STF;16.01.2023 00:00;1.1;0;0
STF;17.01.2023 00:00;7.2;10;0
STF;18.01.2023 00:00;4.4;4;10
STF;19.01.2023 00:00;0;0;12
STF;20.01.2023 00:00;0;0;10
STF;21.01.2023 00:00;0;0;10
STF;22.01.2023 00:00;0;0;8
STF;23.01.2023 00:00;0;0;8
STF;24.01.2023 00:00;0;0;7
STF;25.01.2023 00:00;0;0;7
STF;26.01.2023 00:00;0;0;7
STF;27.01.2023 00:00;0;0;7
STF;28.01.2023 00:00;0;0;6
STF;29.01.2023 00:00;0;0;6
STF;30.01.2023 00:00;0;0;5
STF;31.01.2023 00:00;0;0;4
STF;01.02.2023 00:00;0.1;0;3
STF;02.02.2023 00:00;0.1;0;0
STF;03.02.2023 00:00;0;0;0
STF;04.02.2023 00:00;0.4;0;0
STF;05.02.2023 00:00;2.9;0;0
STF;06.02.2023 00:00;0;0;0
STF;07.02.2023 00:00;0;0;0
STF;08.02.2023 00:00;0;0;0
STF;09.02.2023 00:00;0;0;0
STF;10.02.2023 00:00;0;0;0
STF;11.02.2023 00:00;0;0;0
STF;12.02.2023 00:00;0;0;0
STF;13.02.2023 00:00;0;0;0
STF;14.02.2023 00:00;0;0;0
STF;15.02.2023 00:00;0;0;0
STF;16.02.2023 00:00;0;0;0
STF;17.02.2023 00:00;0;0;0
STF;18.02.2023 00:00;0;0;0
STF;19.02.2023 00:00;0;0;0
STF;20.02.2023 00:00;0;0;0
STF;21.02.2023 00:00;0;0;0
STF;22.02.2023 00:00;1;0;0
STF;23.02.2023 00:00;0;0;0
STF;24.02.2023 00:00;9.3;0;0
STF;25.02.2023 00:00;0;0;0
STF;26.02.2023 00:00;0;0;0
STF;27.02.2023 00:00;0;0;0
STF;28.02.2023 00:00;0;0;0
STF;01.03.2023 00:00;0;0;0
STF;02.03.2023 00:00;0;0;0
STF;03.03.2023 00:00;0;0;0
STF;04.03.2023 00:00;0;0;0
STF;05.03.2023 00:00;0;0;0
STF;06.03.2023 00:00;0;0;0
STF;07.03.2023 00:00;0;0;0
STF;08.03.2023 00:00;15.4;0;0
STF;09.03.2023 00:00;4.3;0;0
STF;10.03.2023 00:00;19.4;7;0
STF;11.03.2023 00:00;5.2;0;7
STF;12.03.2023 00:00;2.3;0;0
STF;13.03.2023 00:00;20.8;0;0
STF;14.03.2023 00:00;5.6;0;0
STF;15.03.2023 00:00;0;0;0
STF;16.03.2023 00:00;0;0;0
STF;17.03.2023 00:00;0;0;0
STF;18.03.2023 00:00;0.1;0;0
STF;19.03.2023 00:00;7.2;0;0
STF;20.03.2023 00:00;0;0;0
STF;21.03.2023 00:00;0;0;0
STF;22.03.2023 00:00;0;0;0
STF;23.03.2023 00:00;1.1;0;0
STF;24.03.2023 00:00;12.4;0;0
STF;25.03.2023 00:00;2.6;0;0
STF;26.03.2023 00:00;19.8;0;0
STF;27.03.2023 00:00;2.4;0;0
STF;28.03.2023 00:00;0;0;0
STF;29.03.2023 00:00;0;0;0
STF;30.03.2023 00:00;3.6;0;0
STF;31.03.2023 00:00;11;0;0
STF;01.04.2023 00:00;2.1;0;0
STF;02.04.2023 00:00;15;0;0
STF;03.04.2023 00:00;0;0;0
STF;04.04.2023 00:00;0;0;0
STF;05.04.2023 00:00;0;0;0
STF;06.04.2023 00:00;0;0;0
STF;07.04.2023 00:00;8.5;0;0
STF;08.04.2023 00:00;0.1;0;0
STF;09.04.2023 00:00;0;0;0
STF;10.04.2023 00:00;3.1;0;0
STF;11.04.2023 00:00;6.9;0;0
STF;12.04.2023 00:00;5.1;0;0
